Combined_Key,Country_Region,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case_Fatality_Ratio
"Kenedy, Texas, US",US,6,1,0,5.0,1485.148514851485,16.666666666666668
"Kent, Texas, US",US,3,0,0,3.0,393.70078740157476,0.0
"Kerr, Texas, US",US,404,6,0,398.0,768.0608365019011,1.4851485148514851
"Kimble, Texas, US",US,14,1,0,13.0,322.80378141572515,7.142857142857142
"King, Texas, US",US,0,0,0,0.0,0.0,-99.0
"Kinney, Texas, US",US,20,0,0,20.0,545.404963185165,0.0
"Kleberg, Texas, US",US,459,8,0,451.0,1496.0886571056064,1.7429193899782136
"Knox, Texas, US",US,61,2,0,59.0,1664.8471615720525,3.278688524590164
"La Salle, Texas, US",US,362,2,0,360.0,4813.829787234043,0.5524861878453039
"Lamar, Texas, US",US,668,18,0,650.0,1339.7781744519546,2.6946107784431144
"Lamb, Texas, US",US,233,14,0,219.0,1807.1821918870705,6.008583690987124
"Lampasas, Texas, US",US,114,3,0,111.0,532.0141870449879,2.631578947368421
"Lavaca, Texas, US",US,635,22,0,613.0,3150.739307333532,3.4645669291338583
"Lee, Texas, US",US,177,11,0,166.0,1026.7416903532687,6.214689265536723
"Leon, Texas, US",US,145,3,0,142.0,833.1418064812686,2.0689655172413794
"Liberty, Texas, US",US,1041,34,0,1007.0,1180.0179099740421,3.2660902977905866
"Limestone, Texas, US",US,258,3,0,255.0,1100.8234842343304,1.162790697674419
"Lipscomb, Texas, US",US,21,0,0,21.0,649.5515001546552,0.0
"Live Oak, Texas, US",US,236,4,0,232.0,1933.316949291389,1.6949152542372878
"Llano, Texas, US",US,89,1,0,88.0,408.3505391144758,1.1235955056179776
"Loving, Texas, US",US,0,0,0,0.0,0.0,-99.0
"Lubbock, Texas, US",US,6295,75,0,6220.0,2026.9247735607873,1.1914217633042097
"Lynn, Texas, US",US,74,4,0,70.0,1243.4884893295246,5.405405405405406
"Madison, Texas, US",US,676,2,0,674.0,4732.567908148978,0.2958579881656805
"Marion, Texas, US",US,134,9,0,125.0,1359.8538664501725,6.7164179104477615
"Martin, Texas, US",US,64,5,0,59.0,1108.993242072431,7.8125
"Mason, Texas, US",US,60,0,0,60.0,1403.8371548900327,0.0
"Matagorda, Texas, US",US,786,31,0,755.0,2145.0208771115904,3.944020356234097
"Maverick, Texas, US",US,2321,44,0,2277.0,3952.522053063589,1.8957345971563984
"McCulloch, Texas, US",US,53,1,0,52.0,663.8276553106213,1.8867924528301887
"McLennan, Texas, US",US,5106,58,0,5048.0,1989.6891549081727,1.1359185272228751
"McMullen, Texas, US",US,10,0,0,10.0,1345.8950201884254,0.0
"Medina, Texas, US",US,934,29,0,905.0,1810.6389578163767,3.1049250535331905
"Menard, Texas, US",US,18,0,0,18.0,841.9083255378857,0.0
"Midland, Texas, US",US,2788,49,0,2739.0,1576.6377126311982,1.757532281205165
"Milam, Texas, US",US,355,3,0,352.0,1430.125287032188,0.8450704225352113
"Mills, Texas, US",US,24,0,0,24.0,492.50974758875435,0.0
"Mitchell, Texas, US",US,69,1,0,68.0,807.489760093622,1.4492753623188406
"Montague, Texas, US",US,79,2,0,77.0,398.6275103441316,2.5316455696202533
"Montgomery, Texas, US",US,6820,95,0,6725.0,1122.8352082925169,1.392961876832845
"Moore, Texas, US",US,1064,14,0,1050.0,5081.184336198663,1.3157894736842106
"Morris, Texas, US",US,127,3,0,124.0,1025.1856635453664,2.3622047244094486
"Motley, Texas, US",US,6,0,0,6.0,500.0,0.0
"Nacogdoches, Texas, US",US,1171,42,0,1129.0,1795.9020918962024,3.5866780529462003
"Navarro, Texas, US",US,905,9,0,896.0,1805.918623909964,0.994475138121547
"Newton, Texas, US",US,116,4,0,112.0,853.2548731151159,3.4482758620689653
